API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug 15 12:00:27 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 UT      
Step-size       : 59040 minutes
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.260814.p261110                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-14. PREDICTS-> 2026-NOV-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
 Date__(UT)__HR:MN           TDB-UT     ObsEcLon    ObsEcLat
************************************************************
$$SOE
 1913-May-12 00:00        15.539179  121.1873856   4.4826353
 1913-Jun-22 00:00        15.680764  308.0302751  -3.8614209
 1913-Aug-02 00:00        15.821454  121.5913838   4.1308665
 1913-Sep-12 00:00        15.961194  310.1229720  -3.6808116
 1913-Oct-23 00:00        16.099926  119.5711969   4.2129335
 1913-Dec-03 00:00        16.237596  311.1721584  -3.1881438
 1914-Jan-13 00:00        16.374147  122.2287284   3.5451982
 1914-Feb-23 00:00        16.509523  311.0901471  -2.9429675
 1914-Apr-05 00:00        16.643667  118.8227730   3.7501574
 1914-May-16 00:00        16.776525  313.6506325  -2.4078993
 1914-Jun-26 00:00        16.908040  122.0926308   2.9560259
 1914-Aug-06 00:00        17.038155  312.3444365  -2.0956266
 1914-Sep-16 00:00        17.166816  120.7337173   3.0311103
 1914-Oct-27 00:00        17.293965  315.2646394  -1.6556948
 1914-Dec-07 00:00        17.419547  121.9943615   2.3248460
 1915-Jan-17 00:00        17.544516  313.6621657  -1.1786113
 1915-Feb-27 00:00        17.666851  122.6120580   2.1447085
 1915-Apr-09 00:00        17.787555  314.8563207  -0.9310642
 1915-May-20 00:00        17.906644  122.2888035   1.6160588
 1915-Jun-30 00:00        18.024138  315.5077300  -0.2174687
 1915-Aug-10 00:00        18.140054  125.1411711   1.1175043
 1915-Sep-20 00:00        18.254409  313.8604687  -0.2721652
 1915-Oct-31 00:00        18.367221  124.3148460   0.7897279
 1915-Dec-11 00:00        18.478508  316.7343382   0.6632052
 1916-Jan-21 00:00        18.588289  126.7657395   0.1163700
 1916-Mar-02 00:00        18.696580  312.4309949   0.4216851
 1916-Apr-12 00:00        18.803399  126.9712215  -0.1903486
 1916-May-23 00:00        18.908765  315.7211930   1.3187551
 1916-Jul-03 00:00        19.012695  128.3886104  -0.8660674
 1916-Aug-13 00:00        19.115207  312.8702160   1.2689022
 1916-Sep-23 00:00        19.216318  130.5332310  -1.1790230
 1916-Nov-03 00:00        19.316047  313.6035923   1.7975465
 1916-Dec-14 00:00        19.414411  130.6627708  -1.8535767
 1917-Jan-24 00:00        19.511428  313.1382544   2.0917430
 1917-Mar-06 00:00        19.607117  132.9635806  -2.1161122
 1917-Apr-16 00:00        19.701493  310.6551237   2.2475317
 1917-May-27 00:00        19.794577  133.5472690  -2.7898551
 1917-Jul-07 00:00        19.886384  313.3828816   2.8572974
 1917-Aug-17 00:00        19.976934  135.1887907  -2.9613665
 1917-Sep-27 00:00        20.066243  309.2773102   2.7205599
 1917-Nov-07 00:00        20.154330  137.1737464  -3.6014189
 1917-Dec-18 00:00        20.241212  312.4458009   3.4685775
 1918-Jan-28 00:00        20.326908  136.9392932  -3.7134471
 1918-Mar-10 00:00        20.411435  308.7964146   3.2921526
 1918-Apr-20 00:00        20.494810  139.6414665  -4.2179062
 1918-May-31 00:00        20.577052  310.4293953   3.9323351
 1918-Jul-11 00:00        20.658179  139.3867196  -4.3967967
 1918-Aug-21 00:00        20.738208  310.5935940   3.9051823
 1918-Oct-01 00:00        20.817156  141.4884354  -4.5910288
